task_id,task_text,candidate_rank,iscoGroup,isco_title,similarity,task_best_similarity,task_best_target,gap_1_2,is_best
1,Resolve customer complaints regarding sales and service..,1,1221,Sales and Marketing Managers,0.7848926782608032,0.7848926782608032,1221,0.05351060628890991,True
10,Represent company at trade association meetings to promote products..,1,1221,Sales and Marketing Managers,0.8079323768615723,0.8079323768615723,1221,0.08045601844787598,True
100,Coordinate recruitment and placement of training program participants..,1,2424,Training and Staff Development Professionals,0.8465385437011719,0.8465385437011719,2424,0.1430826187133789,True
1000,Prepare personnel forecast to project employment needs..,1,1212,Human Resource Managers,0.7895982265472412,0.7895982265472412,1212,0.13376158475875854,True
10000,"Examine car roofs for wear and damage, and repair defective sections, using roofing material, cement, nails, and waterproof paint..",1,7231,Motor Vehicle Mechanics and Repairers,0.669972836971283,0.669972836971283,7231,0.008399367332458496,True
10001,"Paint car exteriors, interiors, and fixtures..",1,7132,Spray Painters and Varnishers,0.64426589012146,0.64426589012146,7132,0.02177143096923828,True
10002,Repair car upholstery..,1,7231,Motor Vehicle Mechanics and Repairers,0.6534827947616577,0.6534827947616577,7231,0.0028166770935058594,True
10003,"Repair window sash frames, attach weather stripping and channels to frames, and replace window glass, using hand tools..",1,7231,Motor Vehicle Mechanics and Repairers,0.6583130359649658,0.6583130359649658,7231,0.0001595616340637207,True
10004,Examine or test operation of parts or systems to ensure completeness of repairs..,1,7231,Motor Vehicle Mechanics and Repairers,0.7308998107910156,0.7308998107910156,7231,0.03444105386734009,True
10005,"Repair plumbing or propane gas lines, using caulking compounds and plastic or copper pipe..",1,5245,Service Station Attendants,0.6727821826934814,0.6727821826934814,5245,0.027287960052490234,True
10006,"Inspect recreational vehicles to diagnose problems and perform necessary adjustment, repair, or overhaul..",1,7231,Motor Vehicle Mechanics and Repairers,0.6757912039756775,0.6757912039756775,7231,0.00417482852935791,True
10007,"Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, or hand tools..",1,7231,Motor Vehicle Mechanics and Repairers,0.6465707421302795,0.6465707421302795,7231,0.034118592739105225,True
10008,"Confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage..",1,7231,Motor Vehicle Mechanics and Repairers,0.6810227632522583,0.6810227632522583,7231,0.001141667366027832,True
10009,"List parts needed, estimate costs, and plan work procedures, using parts lists, technical manuals, or diagrams..",1,7231,Motor Vehicle Mechanics and Repairers,0.6718896627426147,0.6718896627426147,7231,0.016082406044006348,True
1001,Prepare and follow budgets for personnel operations..,1,1212,Human Resource Managers,0.8155596256256104,0.8155596256256104,1212,0.1470831036567688,True
