task_id,task_text,candidate_rank,iscoGroup,isco_title,similarity,task_best_similarity,task_best_target,gap_1_2,is_best
1,Occupation: Sales Managers. Resolve customer complaints regarding sales and service..,1,2434,Information and Communications Technology Sales Professionals,0.5830032825469971,0.5830032825469971,2434,0.0030159354209899902,True
10,Occupation: Sales Managers. Represent company at trade association meetings to promote products..,1,2432,Public Relations Professionals,0.5350707769393921,0.5350707769393921,2432,0.005092799663543701,True
100,Occupation: Training and Development Specialists. Coordinate recruitment and placement of training program participants..,1,2424,Training and Staff Development Professionals,0.6531168222427368,0.6531168222427368,2424,0.09670799970626831,True
1000,Occupation: Human Resources Managers. Prepare personnel forecast to project employment needs..,1,2423,Personnel and Careers Professionals,0.5769623517990112,0.5769623517990112,2423,0.005040764808654785,True
10000,"Occupation: Rail Car Repairers. Examine car roofs for wear and damage, and repair defective sections, using roofing material, cement, nails, and waterproof paint..",1,7121,Roofers,0.692003607749939,0.692003607749939,7121,0.09667670726776123,True
10001,"Occupation: Rail Car Repairers. Paint car exteriors, interiors, and fixtures..",1,7132,Spray Painters and Varnishers,0.7252131700515747,0.7252131700515747,7132,0.06995940208435059,True
10002,Occupation: Rail Car Repairers. Repair car upholstery..,1,7534,Upholsterers and Related Workers,0.735077977180481,0.735077977180481,7534,0.17125999927520752,True
10003,"Occupation: Rail Car Repairers. Repair window sash frames, attach weather stripping and channels to frames, and replace window glass, using hand tools..",1,9123,Window Cleaners,0.6507458686828613,0.6507458686828613,9123,0.05247914791107178,True
10004,Occupation: Recreational Vehicle Service Technicians. Examine or test operation of parts or systems to ensure completeness of repairs..,1,7233,Agricultural and Industrial Machinery Mechanics and Repairers,0.7270769476890564,0.7270769476890564,7233,0.025330781936645508,True
10005,"Occupation: Recreational Vehicle Service Technicians. Repair plumbing or propane gas lines, using caulking compounds and plastic or copper pipe..",1,7126,Plumbers and Pipe Fitters,0.5533126592636108,0.5533126592636108,7126,0.07327720522880554,True
10006,"Occupation: Recreational Vehicle Service Technicians. Inspect recreational vehicles to diagnose problems and perform necessary adjustment, repair, or overhaul..",1,7231,Motor Vehicle Mechanics and Repairers,0.6838807463645935,0.6838807463645935,7231,0.011422872543334961,True
10007,"Occupation: Recreational Vehicle Service Technicians. Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, or hand tools..",1,7412,Electrical Mechanics and Fitters,0.3933160603046417,0.3933160603046417,7412,0.009008914232254028,True
10008,"Occupation: Recreational Vehicle Service Technicians. Confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage..",1,7233,Agricultural and Industrial Machinery Mechanics and Repairers,0.6192494630813599,0.6192494630813599,7233,0.0009658336639404297,True
10009,"Occupation: Recreational Vehicle Service Technicians. List parts needed, estimate costs, and plan work procedures, using parts lists, technical manuals, or diagrams..",1,3115,Mechanical Engineering Technicians,0.5990850925445557,0.5990850925445557,3115,0.01298677921295166,True
1001,Occupation: Human Resources Managers. Prepare and follow budgets for personnel operations..,1,1349,Professional Services Managers Not Elsewhere Classified,0.5689178109169006,0.5689178109169006,1349,0.006874382495880127,True
10010,"Occupation: Recreational Vehicle Service Technicians. Connect electrical systems to outside power sources, and activate switches to test the operation of appliances or light fixtures..",1,3131,Power Production Plant Operators,0.6036843061447144,0.6036843061447144,3131,0.003595292568206787,True
