task_id,task_text,candidate_rank,iscoGroup,isco_title,similarity,task_best_similarity,task_best_target,gap_1_2,is_best
1,Resolve customer complaints regarding sales and service..,1,1221,Sales and Marketing Managers,0.8357150554656982,0.8357150554656982,1221,0.029293954372406006,True
10,Represent company at trade association meetings to promote products..,1,1221,Sales and Marketing Managers,0.8676920533180237,0.8676920533180237,1221,0.03814208507537842,True
100,Coordinate recruitment and placement of training program participants..,1,2424,Training and Staff Development Professionals,0.8614288568496704,0.8614288568496704,2424,0.05458855628967285,True
1000,Prepare personnel forecast to project employment needs..,1,1212,Human Resource Managers,0.8412184715270996,0.8412184715270996,1212,0.05876719951629639,True
10000,"Examine car roofs for wear and damage, and repair defective sections, using roofing material, cement, nails, and waterproof paint..",1,7231,Motor Vehicle Mechanics and Repairers,0.7837392687797546,0.7837392687797546,7231,0.010411381721496582,True
10001,"Paint car exteriors, interiors, and fixtures..",1,7231,Motor Vehicle Mechanics and Repairers,0.7755886316299438,0.7755886316299438,7231,0.010226726531982422,True
10002,Repair car upholstery..,1,7231,Motor Vehicle Mechanics and Repairers,0.7702516317367554,0.7702516317367554,7231,0.006544649600982666,True
10003,"Repair window sash frames, attach weather stripping and channels to frames, and replace window glass, using hand tools..",1,7234,Bicycle and Related Repairers,0.7873429656028748,0.7873429656028748,7234,0.0007055401802062988,True
10004,Examine or test operation of parts or systems to ensure completeness of repairs..,1,7231,Motor Vehicle Mechanics and Repairers,0.839516818523407,0.839516818523407,7231,0.02208578586578369,True
10005,"Repair plumbing or propane gas lines, using caulking compounds and plastic or copper pipe..",1,7231,Motor Vehicle Mechanics and Repairers,0.7879392504692078,0.7879392504692078,7231,0.009449899196624756,True
10006,"Inspect recreational vehicles to diagnose problems and perform necessary adjustment, repair, or overhaul..",1,7231,Motor Vehicle Mechanics and Repairers,0.8017774224281311,0.8017774224281311,7231,0.0337788462638855,True
10007,"Locate and repair frayed wiring, broken connections, or incorrect wiring, using ohmmeters, soldering irons, tape, or hand tools..",1,7231,Motor Vehicle Mechanics and Repairers,0.808039128780365,0.808039128780365,7231,0.007084786891937256,True
10008,"Confer with customers, read work orders, or examine vehicles needing repair to determine the nature and extent of damage..",1,7231,Motor Vehicle Mechanics and Repairers,0.8173235654830933,0.8173235654830933,7231,0.02350538969039917,True
10009,"List parts needed, estimate costs, and plan work procedures, using parts lists, technical manuals, or diagrams..",1,7231,Motor Vehicle Mechanics and Repairers,0.8142895698547363,0.8142895698547363,7231,0.01633012294769287,True
1001,Prepare and follow budgets for personnel operations..,1,1212,Human Resource Managers,0.861727237701416,0.861727237701416,1212,0.06656134128570557,True
10010,"Connect electrical systems to outside power sources, and activate switches to test the operation of appliances or light fixtures..",1,7421,Electronics Mechanics and Servicers,0.8012293577194214,0.8012293577194214,7421,0.0024411678314208984,True
10011,"Connect water hoses to inlet pipes of plumbing systems, and test operation of toilets or sinks..",1,5245,Service Station Attendants,0.7902674078941345,0.7902674078941345,5245,0.0018145442008972168,True
10012,"Remove damaged exterior panels, and repair and replace structural frame members..",1,7231,Motor Vehicle Mechanics and Repairers,0.8109263181686401,0.8109263181686401,7231,0.024492621421813965,True
10013,"Open and close doors, windows, or drawers to test their operation, trimming edges to fit, as necessary..",1,7231,Motor Vehicle Mechanics and Repairers,0.8008388876914978,0.8008388876914978,7231,0.013403058052062988,True
10014,"Repair leaks with caulking compound or replace pipes, using pipe wrenches..",1,7231,Motor Vehicle Mechanics and Repairers,0.7958589792251587,0.7958589792251587,7231,0.014801740646362305,True
10015,"Refinish wood surfaces on cabinets, doors, moldings, or floors, using power sanders, putty, spray equipment, brushes, paints, or varnishes..",1,7231,Motor Vehicle Mechanics and Repairers,0.7781579494476318,0.7781579494476318,7231,0.0004924535751342773,True
10016,"Reset hardware, using chisels, mallets, and screwdrivers..",1,7231,Motor Vehicle Mechanics and Repairers,0.8033143877983093,0.8033143877983093,7231,0.017013728618621826,True
10017,"Seal open sides of modular units to prepare them for shipment, using polyethylene sheets, nails, and hammers..",1,7231,Motor Vehicle Mechanics and Repairers,0.791461169719696,0.791461169719696,7231,0.0033350586891174316,True
10018,"Inspect or test wiring installations, assemblies, or circuits for resistance factors or for operation, and record results..",1,8212,Electrical and Electronic Equipment Assemblers,0.9223719835281372,0.9223719835281372,8212,0.05417203903198242,True
10019,"Assemble electrical or electronic systems or support structures and install components, units, subassemblies, wiring, or assembly casings, using rivets, bolts, soldering or micro-welding equipment..",1,8212,Electrical and Electronic Equipment Assemblers,0.9184997081756592,0.9184997081756592,8212,0.053360044956207275,True
1002,"Develop, administer, and evaluate applicant tests..",1,1212,Human Resource Managers,0.8592343330383301,0.8592343330383301,1212,0.055376648902893066,True
10020,"Adjust, repair, or replace electrical or electronic components to correct defects and to ensure conformance to specifications..",1,8212,Electrical and Electronic Equipment Assemblers,0.922778844833374,0.922778844833374,8212,0.040330708026885986,True
10021,"Clean parts, using cleaning solutions, air hoses, and cloths..",1,8212,Electrical and Electronic Equipment Assemblers,0.907534122467041,0.907534122467041,8212,0.04193747043609619,True
10022,"Read and interpret schematic drawings, diagrams, blueprints, specifications, work orders, or reports to determine materials requirements or assembly instructions..",1,8212,Electrical and Electronic Equipment Assemblers,0.9313977360725403,0.9313977360725403,8212,0.040939390659332275,True
10023,Mark and tag components so that stock inventory can be tracked and identified..,1,8212,Electrical and Electronic Equipment Assemblers,0.9063675999641418,0.9063675999641418,8212,0.03752976655960083,True
10024,"Position, align, or adjust workpieces or electrical parts to facilitate wiring or assembly..",1,8212,Electrical and Electronic Equipment Assemblers,0.9238218665122986,0.9238218665122986,8212,0.05238938331604004,True
10025,"Pack finished assemblies for shipment, and transport them to storage areas, using hoists or handtrucks..",1,8212,Electrical and Electronic Equipment Assemblers,0.8969427347183228,0.8969427347183228,8212,0.03159540891647339,True
10026,Confer with supervisors or engineers to plan or review work activities or to resolve production problems..,1,8212,Electrical and Electronic Equipment Assemblers,0.9116544127464294,0.9116544127464294,8212,0.04097342491149902,True
10027,Explain assembly procedures or techniques to other workers..,1,8212,Electrical and Electronic Equipment Assemblers,0.9182626605033875,0.9182626605033875,8212,0.03457087278366089,True
10028,Measure and adjust voltages to specified values to determine operational accuracy of instruments..,1,8212,Electrical and Electronic Equipment Assemblers,0.9076003432273865,0.9076003432273865,8212,0.053185105323791504,True
10029,"Fabricate or form parts, coils, or structures according to specifications, using drills, calipers, cutters, or saws..",1,8212,Electrical and Electronic Equipment Assemblers,0.9322052597999573,0.9322052597999573,8212,0.0412825345993042,True
1003,"Oversee the evaluation, classification, and rating of occupations and job positions..",1,1212,Human Resource Managers,0.8757330179214478,0.8757330179214478,1212,0.0649944543838501,True
10030,"Drill or tap holes in specified equipment locations to mount control units or to provide openings for elements, wiring, or instruments..",1,8212,Electrical and Electronic Equipment Assemblers,0.9119605422019958,0.9119605422019958,8212,0.052223145961761475,True
10031,"Complete, review, or maintain production, time, or component waste reports..",1,8212,Electrical and Electronic Equipment Assemblers,0.9194715619087219,0.9194715619087219,8212,0.0385856032371521,True
10033,"Instruct customers in the installation, repair, or maintenance of products..",1,8212,Electrical and Electronic Equipment Assemblers,0.9115058779716492,0.9115058779716492,8212,0.03487449884414673,True
10034,"Distribute materials, supplies, or subassemblies to work areas..",1,8212,Electrical and Electronic Equipment Assemblers,0.9043989777565002,0.9043989777565002,8212,0.03423374891281128,True
10035,"Position, align, fit, and weld parts to form complete units or subunits, following blueprints and layout specifications, and using jigs, welding torches, and hand tools..",1,7214,Structural Metal Preparers and Erectors,0.8926120400428772,0.8926120400428772,7214,0.05281555652618408,True
10036,"Verify conformance of workpieces to specifications, using squares, rulers, and measuring tapes..",1,7214,Structural Metal Preparers and Erectors,0.8702546954154968,0.8702546954154968,7214,0.02305734157562256,True
10037,Tack-weld fitted parts together..,1,7214,Structural Metal Preparers and Erectors,0.875078022480011,0.875078022480011,7214,0.0617138147354126,True
10038,Lay out and examine metal stock or workpieces to be processed to ensure that specifications are met..,1,7214,Structural Metal Preparers and Erectors,0.8779096007347107,0.8779096007347107,7214,0.036500394344329834,True
10039,"Align and fit parts according to specifications, using jacks, turnbuckles, wedges, drift pins, pry bars, and hammers..",1,7214,Structural Metal Preparers and Erectors,0.8784090876579285,0.8784090876579285,7214,0.05125987529754639,True
1004,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends..",1,1212,Human Resource Managers,0.8540369868278503,0.8540369868278503,1212,0.07238811254501343,True
10040,"Locate and mark workpiece bending and cutting lines, allowing for stock thickness, machine and welding shrinkage, and other component specifications..",1,7214,Structural Metal Preparers and Erectors,0.8765416145324707,0.8765416145324707,7214,0.03728795051574707,True
10041,"Position or tighten braces, jacks, clamps, ropes, or bolt straps, or bolt parts in position for welding or riveting..",1,7214,Structural Metal Preparers and Erectors,0.9010895490646362,0.9010895490646362,7214,0.07933735847473145,True
10042,Study engineering drawings and blueprints to determine materials requirements and task sequences..,1,7214,Structural Metal Preparers and Erectors,0.8775078058242798,0.8775078058242798,7214,0.038092076778411865,True
10043,"Move parts into position, manually or with hoists or cranes..",1,7214,Structural Metal Preparers and Erectors,0.892622172832489,0.892622172832489,7214,0.07190996408462524,True
10044,"Set up and operate fabricating machines, such as brakes, rolls, shears, flame cutters, grinders, and drill presses, to bend, cut, form, punch, drill, or otherwise form and assemble metal components..",1,7214,Structural Metal Preparers and Erectors,0.8910076022148132,0.8910076022148132,7214,0.04888570308685303,True
10045,"Hammer, chip, and grind workpieces to cut, bend, and straighten metal..",1,7214,Structural Metal Preparers and Erectors,0.8954484462738037,0.8954484462738037,7214,0.05140221118927002,True
